id,acronym,status,title,startDate,endDate,totalCost,ecMaxContribution,legalBasis,topics,ecSignatureDate,frameworkProgramme,masterCall,subCall,fundingScheme,nature,objective,contentUpdateDate,rcn,grantDoi
101192566,GRAVITEQA,SIGNED,"gravitational storage, quantum computing, and ai for enhanced circularity and reliability in clean transition-affected sector-coupled electricity grids",2025-01-01,2027-12-31,2499990,2499990,HORIZON.2.5,HORIZON-CL5-2024-D2-01-04,2024-10-07,HORIZON,HORIZON-CL5-2024-D2-01,HORIZON-CL5-2024-D2-01,HORIZON-RIA,,"the clean energy transition requires at least a 55% reduction in ghg emissions (from 1990 levels) by 2030, according to the ‘fit for 55’ package. thus, electricity grids will be called upon to operate in an overall context of 50% electricity production from res of any scale by 2030. thus, several challenges will become even more apparent in the following years: (i) reliability issues in electricity grids due to rapid decarbonization, (ii) lack of circularity in conventional power plant’s decommissioning process, (iii) operational issues in sector-coupled systems under mass electrification scenarios, (iv) significant computation and data processing efforts are required to manage the future grid. graviteqa highlights the synergetic benefits of gravitational storage, quantum computing (qc) and quantum inspired computing (qic), and data-driven, trustworthy ai-based analytics services. graviteqa develops and validates 9 components/methodologies up to a trl 4: (i) qc and qic for the facility location allocation and load-side assets management problems, (ii) a generic and holistic methodology to find the optimal energy storage technology or mix of them, to transform a coal power plant and mine into a long duration energy storage plant, (iii) repurposing of available assets case study capable of providing long-term storage and enhancing recyclability of a under-decommissioning thermal power plant and an abandoned coal plant, (iv) conformal prediction for robust energy demand of cold ironing, (v) optimal charging of cold ironing and evs respecting grid constraints for reliable green port operation, (vi) seaport electrification strategy for seaports: analysis and scenarios planning, (vii) fast nodal flexibility region estimation algorithm for 3-phase grids unlocking the flexibility services procurement from distributed res, (viii) end-to-end trustworthy learning for non-convex optimization problems, and (ix) a reference design for edge inference in smart grid applications.",2024-10-18 16:20:49,266809,10.3030/101192566
101119547,PQ-REACT,SIGNED,post quantum cryptography framework for energy aware contexts,2023-09-01,2026-08-31,"5366883,2","4935859,5",HORIZON.2.3,HORIZON-CL3-2022-CS-01-03,2023-07-06,HORIZON,HORIZON-CL3-2022-CS-01,HORIZON-CL3-2022-CS-01,HORIZON-IA,,"in the last three decades, public key cryptography has become an indispensable component of global communication digital infrastructure. these networks support a plethora of applications that are important to our economy, our security, and our way of life, such as mobile phones, internet commerce, social networks, and cloud computing. in such a connected world, the ability of individuals, businesses and governments to communicate securely is of the utmost importance. at the moment, the quantum threat is theoretical as quantum computers that fulfill the requirements of shor’s and grover’s algorithms for long keys are not available, but it is evident that widely used rsa, ecdsa, ecdh, and dsa cryptosystems will need to be replaced by post-quantum cryptography (pqc). the need for addressing this problem early enough has been recognized by various relevant organizations and the national institute of standards and technology (nist) has started an effort to identify cryptographic algorithms able to withstand quantum computer attacks by 2022 — and make them available by 2024. the main objective of pq-react project is to design, develop and validate a framework for a faster and smoother transition from classical to post-quantum cryptography for a wide variety of contexts and usage domains, while leveraging europe's most powerful quantum infrastructure (ibm quantum computer from fraunhofer fokus). this framework will include pqc migration paths and cryptographic agility methods and will develop a portfolio of tools for validation of post quantum cryptographic systems, that will allow users to switch to post-quantum cryptography, taking under consideration their individualities and various contexts and a wide variety of real world pilots, i.e., smart grids, 5g and ledgers. the project will also foster a series of open calls for smes and other stakeholders to bring and test their pqc algorithms and external pilots on the pq-react, quantum computing infrastructure.",2023-08-29 01:54:22,252921,10.3030/101119547
101119602,COBALT,SIGNED,certification for cybersecurity in eu ict using decentralized digital twinning,2023-11-01,2026-10-31,"5983793,75","4996405,63",HORIZON.2.3,HORIZON-CL3-2022-CS-01-04,2023-07-06,HORIZON,HORIZON-CL3-2022-CS-01,HORIZON-CL3-2022-CS-01,HORIZON-IA,,"cobalt proposes the introduction of a common certification model (ccm) for european industries, leveraging existing standards and composing a unified cybersecurity namespace for ict processes. the proposal will uphold the paradigm of digital twinning (dt) via the creation of digital threads and extend it in a vertical agnostic approach across different industries, including quantum computing (involving fhg’s quantum computer) and i4.0. the cobalt dt will explore technology disruption mainly focusing on ai and high-performance computing (hpc) via the analysis and certification of quantum processing oracles (a quantum computer exposure operation that is used as input to another algorithm), and how different enablers of these paradigms can be certified in a vertical agnostic manner. quantum is destined to play a pivotal role in europe’s ai and computing sovereignty, thus protecting such infrastructure and its relevant processes (quantum oracles), should be of top priority.along with common information models, cobalt acknowledges the importance of trusted information exchange a critical feature for an effective certification process across different industries, especially regarding cybersecurity. therefore, cobalt will focus on the integration of international data spaces (ids) primitives as a basis for the data sharing platform across different stakeholders. ids currently proposes different models and procedures to share information and data across different spaces in a trusted manner between two parties, this can facilitate the process to build a trusted end-to-end certification framework across different industry stakeholders.finally, cobalt aims to build a decentralized solution to further accelerate technology adoption and harmonization for the different use cases to be adopted. for the proposed ccm to function as a long term and sustainable european solution for certification, it needs to adapt and flex according to different environment conditions.",2023-07-14 16:37:04,254250,10.3030/101119602
101194278,GN5-2,SIGNED,gn5-2,2025-01-01,2027-06-30,"115314953,75",80000000,HORIZON.1.3,HORIZON-INFRA-2024-GEANT-01-SGA,2024-11-26,HORIZON,HORIZON-INFRA-2024-GEANT-01-SGA,HORIZON-INFRA-2024-GEANT-01-SGA,HORIZON-RIA,,"under gn5-fpa, gn5-2 continues delivering expanded, cost effective, secure and resilient connectivity for unconstrained capacity ahead of demand in the backbone network and nren access in multiples of 100gbps targeting terabit/s connectivity where needed. gn5-2 will scale its digital service portfolio to changing environments, by prototyping, piloting and, where appropriate, procuring new online above-the-net services to enable researchers and students’ access to applications that support multidomain data-driven, evidence-based and effective collaboration across virtual research teams, worldwide. it will deliver pervasive, innovative and distributed trust and identity infrastructure and services taking into account open science and eidas, to achieve strategic positioning of t&i as a key enabler of research and education collaboration within europe. gn5-2 will reinforce the network security and its operation in a federated approach, and foster collaborations to innovate and strengthen europe’s sustainable connectivity with other world regions.gn5-2 will address horizon europe’s priorities in areas such as data security and access control, innovation, inclusion, and dnsh, and will expand nrens' users beyond traditional scientific and research communities, enabling networking and access to the common european data spaces, and preparing non-traditional use of fiber: sensing technologies, quantum, time/frequency distribution. gn5-2 will ensure access to the valued services required for open science, disseminate learning and training, and build community as well as align with eu policies and ongoing participation with standardisation bodies. gn5-2 can offer its distinctive services due to its human network of professionals, in a consortium with a deep understanding of evolving user requirements. knowledge and experience are shared within this community, to constantly enhance quality and security of services indispensable to the era, instrumental to eu strategic autonomy",2024-12-06 13:41:08,267813,10.3030/101194278
101073795,POLIIICE,SIGNED,"powerful lawful interception, investigation, and intelligence",2022-10-01,2025-09-30,"4202788,5","4202787,5",HORIZON.2.3,HORIZON-CL3-2021-FCT-01-02,2022-07-20,HORIZON,HORIZON-CL3-2021-FCT-01,HORIZON-CL3-2021-FCT-01,HORIZON-RIA,,"poliiice vision is to advance european leas to a novel lawful-interception (li), investigation and intelligence era in which they will be able to effectively prevent, detect and investigate crime and terrorism amid the new age of communication (5g&beyond, end-to-end encrypted communication and quantum based encryption). these new age technologies turn legacy li solutions to totally in-effective and therefore put significant risk on europes fight against crime and terrorism.   poliiice will offer, research, validate and demonstrate array of innovative li measures at cloud & network level as well as at edge device level that together will enable leas to efficiently overcome the new age challenges and enable high throughput of its li. in addition, poliiice will research and model quddaas (quantum unlock,  detection and decryption as a service) as an envisaged central service, potentially outsourced at pan eu level, which will harness quantum computing for decryption of lawfully intercepted encrypted communication (which is vulnerable to quantums shor algorithm), for brute force detection of target-users credentials/tokens needed to access encrypted cloud-native apps and for quantum unlock of lawfully seized edge devices. quddaas may also detect and classify li communications that are resistant to quantum decryption power and therefore cant be decrypted.  poliiice also aims to improve the information exchange and cooperation among european leas by proposing and implementing a mechanism and procedure for exchanging pseudo-anonymized suspect identifiers.  poliiice is designed for ensuring the cost-effectiveness, security and integrity of the new age li and will provide the legal and ethical framework for each of its measures while strictly complying with privacy preserving and ethics rules of operation. poliiice will contribute to the li standardization and will recommend eu regulation changes for effective adaptation of poliiice vision and innovative li measures.",2022-09-15 14:25:45,240921,10.3030/101073795
101137057,QUANTUM,SIGNED,"quality, utility and maturity measured; developing a data quality and utility label for healthdata@eu",2024-01-01,2026-06-30,"3905701,26","3903826,25",HORIZON.2.1,HORIZON-HLTH-2023-TOOL-05-09,2023-12-11,HORIZON,HORIZON-HLTH-2023-TOOL-05,HORIZON-HLTH-2023-TOOL-05,HORIZON-CSA,,"context: data users (i.e., researchers, innovators, regulation agencies and policy-makers) need high-quality data. in healthdata@eu, data holders are expected to make their datasets available for secondary use, providing a notion of their quality and utility and the maturity of their data quality procedures. in article 56 in the healthdata@eu proposed regulation, this notion would take the form of a label. goal: overall, quantum aims at developing and implementing a label mechanism that could be ideally adopted in the future healthdata@eu.methods: quantum builds on 5 technical work packages (wp). wp1 conceptualises and provides technical specifications for a data quality, utility, and maturity label. wp2 designs and tests, at small-scale, the label. wp3 implements the labelling mechanism in a number of data holders. wp4 engages the data quality users’ community; and, wp5 outreaches other interested parties, including other initiatives building healthdata@eu.expected results: a) a common concept of datasets quality and utility and data holders’ maturity; b) technical specifications for the label (deliverable d1.1. and d1.2); c) a conformance checking tool that yields the label (d2.1); d) an implementation report of the label mechanism (d3.1); e) recommendations for a large-scale implementation of the quantum label mechanism (d3.2); and, f) the quantum exchange platform and academy (d4.2 and d4.3) as instruments for capacity building.consortium: for this purpose, 27 beneficiaries, 5 affiliated entities and 3 associated partners.  the composition of the consortium seeks to reflect the different roles and institutions in the governance of the healthdata@eu; virtually consider all types of data and science of interest; and gather the expertise of previous outstanding projects in the domain",2025-05-12 16:10:13,259430,10.3030/101137057
101132327,CIDAPE,SIGNED,"climate, inequality, and democratic action: the force of political emotions",2024-01-01,2027-12-31,"2999967,5","2999967,5",HORIZON.2.2,HORIZON-CL2-2023-DEMOCRACY-01-04,2023-11-06,HORIZON,HORIZON-CL2-2023-DEMOCRACY-01,HORIZON-CL2-2023-DEMOCRACY-01,HORIZON-RIA,,"cidape is a groundbreaking project at the forefront of research on the complex interplay between citizen engagement, climate change, and social and economic inequalities. at its core lies the recognition that emotions play a fundamental role in political participation and communication. understanding and responding to citizens' emotional (re)actions - as set up by cidape's inquiry -  are essential to achieving coordinated, democratic action.with a focus on the perceived and articulated emotions around climate and inequality, cidape proposes a comprehensive, multi-methods approach and multidisciplinary analysis of the force of political emotions in european politics of climate change. the project's wps delve into emotions in the political sphere, media, everyday life, global-local entanglements, social movements, and citizen engagement showing how emotions shape people's rational argumentation, engagement, and ultimately, who and what they care about.cidape seeks to uncover the core mechanisms and processes at the heart of political action - at the policy, polity, and politics levels - and proposes participatory tools, policy instruments, and methodological guides to address these challenges. the project emphasizes that the climate crisis provides a unique opportunity to unite citizens across the political spectrum and that the success of coordinated democratic action will require high levels of public trust, strong institutions, and policies that resonate with citizens' political emotions. the consortium assembles experienced researchers from political science, sociology, linguistics, communication science, and international relations, and distinguished representatives from civil society across nine european countries. it has a strong dissemination strategy, aiming at diverse citizen groups at local, national, and supranational levels of democratic engagement.",2023-11-09 18:38:07,258058,10.3030/101132327
101177706,COLUMN,SIGNED,colonial legacies of universities: materialities and new collaborations,2025-04-01,2029-03-31,0,"3798046,62",HORIZON.2.2,HORIZON-CL2-2024-HERITAGE-01-04,2024-10-04,HORIZON,HORIZON-CL2-2024-HERITAGE-01,HORIZON-CL2-2024-HERITAGE-01,HORIZON-IA,,"historically, universities have been foundational to promoting and shaping european culture, knowledge, and values including democracy, human dignity, freedom, human rights, and equality as a global project. they have also been leading institutions for promoting dialogue and building strategic alliances between the global north and the global south in the fields of science, heritage, and cultural and creative industries.in recent years, universities and museums in europe have increasingly developed innovative approaches to address the colonial entanglements in their collecting practices, material legacies, understandings of national and transnational identities, and the production of knowledge.however, unfinished conversations with former colonies about colonial legacies in and beyond europe remain barriers to cooperation and exchange as well as the promotion of european values. column brings together partners from the creative industries, seven european universities from the coimbra network, including some of the oldest research universities in europe, and partner universities from the global south to rethink, reframe, and refresh approaches to european and postcolonial arts, culture, heritage, and societal values.focusing on four pilot interventions that apply new collaborative and decolonial curatorial practices, column will lead the development of policies, recommendations, and good practices for new collaborations around european university heritage through strategic partnerships within and beyond the borders of the eu. bridging knowledge production and creative arts practices, it builds an understanding of european cultural heritage as a vehicle to strengthen rights-based and equitable approaches to colonialism in dialogue with global south partners - thus paving the way for cultural cooperation in the true spirit of modern european values. through its deliverables, the project redefines scholarly consensus, heritage practice, and policy.",2025-05-09 11:56:07,266835,10.3030/101177706
101130174,ELBEX,SIGNED,an electron beamline at the european-xfel,2025-01-01,2029-12-31,5309225,4247380,HORIZON.1.3,HORIZON-INFRA-2023-DEV-01-03,2024-09-16,HORIZON,HORIZON-INFRA-2023-DEV-01,HORIZON-INFRA-2023-DEV-01,HORIZON-RIA,,"one of the highlights of the european research infrastructure landscape is the world's most powerful x-ray-laser, the european xfel. the elbex (extracted lepton beam at the european xfel) proposal builds on this strength and will set up new opportunities for european scientists and innovators, by providing an extracted high energy electron beam for experiments. with elbex we propose a pathfinder project to demonstrate the feasibility of such a facility at the european xfel. this unique new possibility would strengthen the global competitiveness of the european research area and create opportunities for new user groups.the high energy, high charge density and excellent quality of the electron beam, if brought into interaction with a strong laser beam, opens up the study of a range of scientific topics, most prominently, of strong field quantum electrodynamics (qed).  for the first time, the schwinger limit for the electromagnetic field strength, at which non-perturbative qed effects become relevant, could be reached experimentally  in this facility. studying the particles created in the photon beam dump opens up the possibility to search for feebly interacting particles, complementing current or planned experiments like faser ii or ship. in addition, the electron beam itself is at the centre of a range of highly relevant and ambitious experiments in the area of accelerator science and detector science. within the elbex project, the installation of a facility to extract an electron beam from the european xfel using a fast kicker magnet and to transport it into a multi-purpose experimental area will be prepared. on the condition that a positive decision by the european xfel council is reached to grant an extended 12-week xfel shutdown, the installation of the elbex facility is an option.",2025-04-29 10:13:50,266014,10.3030/101130174
101216535,DeepTechSeeds,SIGNED,fostering talent ecosystems for early-stage researchers in deep tech,2025-10-01,2028-09-30,"1999772,5","1999772,5",HORIZON.4.2,HORIZON-WIDERA-2024-ERA-02-03,2025-04-16,HORIZON,HORIZON-WIDERA-2024-ERA-02,HORIZON-WIDERA-2024-ERA-02,HORIZON-CSA,,"deeptechseeds addresses the critical need for a highly skilled and adaptable research workforce in europe's deep tech sectors. as global competition intensifies in fields such as artificial intelligence, quantum computing, robotics, and advanced materials, the project aims to create a dynamic and interconnected talent ecosystem that seamlessly bridges academia, industry, and the public sector.the project's core objective is to reshape the landscape of early research careers in deep tech fields by implementing a comprehensive framework based on the new charter for researchers. this framework will guide participating organizations through a process of structural change, creating more attractive and sustainable career pathways for early career researchers (ecrs).deeptechseeds will:1.develop and implement a tailored deeptech framework for applying the charter for researchers in deep tech sectors.2.enhance ecr competencies through targeted training modules and open innovation programs, training at least 500 researchers.3.facilitate balanced talent circulation across sectors and regions, establishing at least 10 new cross-sector collaborations.4.create a digital deeptech talent ecosystem platform to facilitate networking, knowledge exchange, and career opportunities.5.organize open innovation challenges to foster collaboration between ecrs and industry partners.6.provide evidence-based policy recommendations for scaling the talent ecosystem model across the european research area.deeptechseeds serves as a comprehensive effort to create a self-sustaining ecosystem that nurtures talent, drives innovation, and strengthens europe's position in critical deep tech fields. by addressing the challenges faced by ecrs holistically – from working conditions and skills development to cross-sector mobility and open innovation – the project aims to transform the nature of research careers in europe.",2025-04-23 13:20:44,271292,10.3030/101216535
