public_quantum_funding_non_eu_2017_2024
Country;Year;Funding_EUR_million;Source
United States;2017;180;approx (pre-NQI)
United States;2018;270;approx (pre-NQI)
United States;2019;400;https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf
United States;2020;600;https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf
United States;2021;750;https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf
United States;2022;900;https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf
United States;2023;820;https://www.quantum.gov/wp-content/uploads/2023/01/NQI-Annual-Report-FY2023.pdf
United States;2024;880;https://www.quantum.gov/wp-content/uploads/2023/12/NQI-Annual-Report-FY2024.pdf
Canada;2017;65;~C$1B (2009–20)
Canada;2018;65;~C$1B (2009–20)
Canada;2019;70;~C$1B (2009–20)
Canada;2020;70;~C$1B (2009–20)
Canada;2021;240;https://ised-isde.canada.ca/site/national-quantum-strategy/en/canadas-national-quantum-strategy
Canada;2022;60;https://www.canada.ca/en/innovation-science-economic-development/news/2023/01/government-of-canada-launches-national-quantum-strategy-to-create-jobs-and-advance-quantum-technologies.html
Canada;2023;90;https://www.canada.ca/en/innovation-science-economic-development/news/2023/01/government-of-canada-launches-national-quantum-strategy-to-create-jobs-and-advance-quantum-technologies.html
Canada;2024;75;https://www.canada.ca/en/innovation-science-economic-development/news/2023/01/government-of-canada-launches-national-quantum-strategy-to-create-jobs-and-advance-quantum-technologies.html
China;2017;2000;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2018;2000;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2019;2000;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2020;2500;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2021;2500;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2022;3000;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2023;3000;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
China;2024;3200;https://merics.org/sites/default/files/2024-12/MERICS China Tech Observatory Quantum Report 2024.pdf?utm_source=chatgpt.com
Japan;2017;40;https://www.nedo.go.jp/
Japan;2018;80;https://www.nedo.go.jp/
Japan;2019;120;https://www.nedo.go.jp/
Japan;2020;270;https://www.jst.go.jp/moonshot/en/program/goal6/
Japan;2021;480;https://www.jst.go.jp/moonshot/en/program/goal6/
Japan;2022;610;https://www.jst.go.jp/moonshot/en/program/goal6/
Japan;2023;335;https://www.jst.go.jp/moonshot/en/program/goal6/
Japan;2024;670;https://www.jst.go.jp/moonshot/en/program/goal6/
South Korea;2017;3;est.
South Korea;2018;7;est.
South Korea;2019;8;https://www.korea.kr/news/policyNewsView.do?newsId=148873253
South Korea;2020;12;https://www.korea.kr/news/policyNewsView.do?newsId=148873253
South Korea;2021;15;https://www.korea.kr/news/policyNewsView.do?newsId=148873253
South Korea;2022;50;https://www.korea.kr/news/policyNewsView.do?newsId=148873253
South Korea;2023;75;est.
South Korea;2024;94;https://www.korea.kr/news/policyNewsView.do?newsId=148873253
India;2017;1;approx.
India;2018;2;approx.
India;2019;3;approx.
India;2020;180;https://pib.gov.in/PressReleasePage.aspx?PRID=1608743
India;2021;180;https://pib.gov.in/PressReleasePage.aspx?PRID=1608743
India;2022;180;https://pib.gov.in/PressReleasePage.aspx?PRID=1608743
India;2023;0;https://analyticsindiamag.com/only-₹17-cr-disbursed-out-of-₹6000-cr-budget-for-indias-national-quantum-mission-rti/
India;2024;50;https://analyticsindiamag.com/only-₹17-cr-disbursed-out-of-₹6000-cr-budget-for-indias-national-quantum-mission-rti/
